b,air_LET_eV_um,b_cm,air_LET_keV_um,,LET_keV_um,name
1.38028169,6.020894493,0.001380282,6.020894493,1.20479,7.25,
2.253521127,8.689265171,0.002253521,8.689265171,1.20479,10.47,
2.105633803,10.31713996,0.002105634,10.31713996,1.20479,12.43,
3.450704225,32.75323772,0.003450704,32.75323772,1.20479,39.46,
3.697183099,53.55666918,0.003697183,53.55666918,1.20479,64.52,
3.492957746,56.12450741,0.003492958,56.12450741,1.20479,67.62,
3.401408451,58.35817405,0.003401408,58.35817405,1.20479,70.31,
4.14084507,136.6448349,0.004140845,136.6448349,1.20479,164.63,
4.908450704,395.0118911,0.004908451,395.0118911,1.20479,475.91,
5.211267606,1283.732618,0.005211268,1283.732618,1.20479,1546.63,
