LET_keV_um,gradient,particle
22.46406172,6.107585638,carbon
25.39139201,7.824890357,carbon
32.29855011,9.440608763,carbon
39.49845552,8.823729256,carbon
65.6104124,11.73721925,carbon
108.0352666,15.1507727,carbon
159.462993,26.80778116,carbon
332.5441189,55.11938304,carbon
63.63165382,12.55778501,neon
77.13836409,14.81331213,neon
95.99912128,18.0067271,neon
122.1135268,20.15337686,neon
179.4560901,26.40822007,neon
218.5019673,31.6227766,neon
245.8972329,37.58374043,neon
303.3546117,46.3771811,neon
443.8590628,66.50068012,neon
289.1021346,33.07997841,argon
308.7097516,34.34547802,argon
336.9372925,37.58374043,argon
359.7892074,41.12732232,argon
382.5139209,45.00501073,argon
616.2264593,72.77069484,argon
1088.258603,123.0884751,argon
672.5724526,69.04471397,iron
866.8329317,85.19905595,iron
1102.635368,104.3465899,iron
2239.86405,186.0223889,iron
4242.407803,317.0202153,iron
