current_nA,M1,M2,MU
1,1,1,1000
1,0.9998,1.0001,1000
1,0.9997,1.0001,1000
2,0.9995,0.9988,1000
2,0.9994,0.9986,1000
3,0.9992,0.9972,1000
3,0.9989,0.9972,1000
4,0.9988,0.9957,1000
4,0.9984,0.9956,1000
5,0.9987,0.9943,1000
5,0.9984,0.9944,1000
6,0.9981,0.9929,1000
6,0.998,0.9929,1000
8,0.9979,0.99,1000
10,0.9982,0.9878,1000
15,0.9976,0.9799,1000
20,0.9953,0.9706,1000
30,0.9945,0.9547,1000
40,0.9923,0.9372,1000
50,0.9902,0.9196,1000
60,0.9882,0.9025,1000
80,0.9837,0.8692,1000
100,0.9789,0.8389,1000
150,0.9653,0.777,1000
200,0.9518,0.7313,1000
250,0.9368,0.6963,1000
300,0.9219,0.6684,1000
350,0.9069,0.6451,1000
400,0.892,0.6251,1000
450,0.877,0.6072,1000
500,0.8635,0.5923,1000
550,0.8506,0.5789,1000
600,0.8386,0.567,1000
650,0.8265,0.5556,1000
700,0.8163,0.5462,1000
20,0.9953,0.9706,40000
40,0.9912,0.9359,40000
60,0.9872,0.9012,40000
80,0.9829,0.8679,40000
100,0.9784,0.8372,40000
120,0.9731,0.8092,40000
140,0.9677,0.7852,40000
160,0.9622,0.7644,40000
180,0.9563,0.7453,40000
200,0.9502,0.7283,40000
250,0.9348,0.693,40000
300,0.9195,0.665,40000
350,0.9042,0.6416,40000
400,0.8886,0.6212,40000
450,0.8738,0.6037,40000
500,0.8593,0.5881,40000
550,0.8464,0.5748,40000
600,0.8335,0.5624,40000
650,0.8219,0.5516,40000
700,0.8103,0.5412,40000
