,E_MeV_u,voltage_V,electrode_gap_cm,particle,grid_size_um,numba_parallel_time,numba_time,cython_time
0,10,50,0.5,proton,5,18.058259963989258,15.890968084335327,45.63836932182312
1,10,50,0.5,proton,10,0.25345325469970703,0.5105507373809814,1.4707891941070557
2,10,50,0.5,carbon,5,33.7164032459259,84.27834582328796,237.40743851661682
3,10,50,0.5,carbon,10,0.6474473476409912,2.9307470321655273,8.458988428115845
4,10,300,0.5,proton,5,1.6661577224731445,6.555087089538574,18.82969093322754
5,10,300,0.5,proton,10,0.1537337303161621,0.30438852310180664,0.879770040512085
6,10,300,0.5,carbon,5,13.45220947265625,34.74897384643555,98.06460952758789
7,10,300,0.5,carbon,10,0.38912129402160645,1.74735689163208,5.05741548538208
8,250,50,0.5,proton,5,3.324747323989868,15.912212610244751,45.62266993522644
9,250,50,0.5,proton,10,0.254410982131958,0.5097720623016357,1.4710164070129395
10,250,50,0.5,carbon,5,4.6067588329315186,26.004646062850952,74.03254103660583
11,250,50,0.5,carbon,10,0.33537864685058594,0.8601775169372559,2.4838006496429443
12,250,300,0.5,proton,5,1.588352918624878,6.554368734359741,18.8254816532135
13,250,300,0.5,proton,10,0.15510845184326172,0.3044271469116211,0.8798050880432129
14,250,300,0.5,carbon,5,2.2493364810943604,10.707803010940552,30.552048921585083
15,250,300,0.5,carbon,10,0.21447324752807617,0.5134310722351074,1.4855210781097412
